class,seed_count
Faba-Seed-CC_Vf474-1-1,10
Faba-Seed-CC_Vf12-1-1,10
Faba-Seed-CC_Vf389-1-1,6
Faba-Seed-CC_Vf606-1-1,9
Faba-Seed-CC_Vf307-1-1,8
Faba-Seed-CC_Vf582-3-2,10
Faba-Seed-CC_Vf365-3-1,10
Faba-Seed-CC_Vf392-1-1,10
Faba-Seed-CC_Vf241-1-1,3
Faba-Seed-CC_Vf302-1-1,6
Faba-Seed-CC_Vf247-1-1,10
Faba-Seed-CC_Vf146-1-1,6
Faba-Seed-CC_Vf216-1-1,3
Faba-Seed-CC_Vf569-1-1,6
Faba-Seed-CC_Vf37-1-1,10
Faba-Seed-CC_Vf117-1-2,10
Faba-Seed-CC_Vf552-1-1,10
Faba-Seed-CC_Vf610-1-1,9
Faba-Seed-CC_Vf311-3-1,7
Faba-Seed-CC_Vf583-3-1,10
Faba-Seed-CC_Vf124-1-2,10
Faba-Seed-CC_Vf494-1-1,8
Faba-Seed-CC_Vf270-1-1,3
Faba-Seed-CC_Vf492-1-1,10
Faba-Seed-CC_Vf221-1-2,1
Faba-Seed-CC_Vf92-1-1,10
Faba-Seed-CC_Vf495-1-1,10
Faba-Seed-CC_Vf192-1-2,11
Faba-Seed-CC_Vf467-3-1,5
Faba-Seed-CC_Vf32-1-1,6
Faba-Seed-CC_Vf157-1-1,6
Faba-Seed-CC_Vf284-3-1,8
Faba-Seed-CC_Vf185-1-1,11
Faba-Seed-CC_Vf601-1-1,10
Faba-Seed-CC_Vf261-1-1,4
Faba-Seed-CC_Vf496-1-1,4
Faba-Seed-CC_Vf377-3-1,10
Faba-Seed-CC_Vf254-1-1,5
Faba-Seed-CC_Vf631-3-1,10
Faba-Seed-CC_Vf405-1-1,3
Faba-Seed-CC_Vf362-3-1,10
Faba-Seed-CC_Vf367-1-1,5
Faba-Seed-CC_Vf180-1-1,3
Faba-Seed-CC_Vf258-1-1,4
Faba-Seed-CC_Vf276-1-1,4
Faba-Seed-CC_Vf136-1-1,4
Faba-Seed-CC_Vf387-1-1,7
Faba-Seed-CC_Vf333-3-1,10
Faba-Seed-CC_Vf451-3-1,6
Faba-Seed-CC_Vf155-1-1,10
Faba-Seed-CC_Vf39-1-1,7
Faba-Seed-CC_Vf123-1-1,6
Faba-Seed-CC_Vf574-1-1,5
Faba-Seed-CC_Vf169-1-1,10
Faba-Seed-CC_Vf220-3-1,7
Faba-Seed-CC_Vf397-3-1,10
Faba-Seed-CC_Vf439-1-1,10
Faba-Seed-CC_Vf619-1-1,10
Faba-Seed-CC_Vf20-1-1,10
Faba-Seed-CC_Vf535-1-1,8
Faba-Seed-CC_Vf290-3-1,7
Faba-Seed-CC_Vf412-1-1,7
Faba-Seed-CC_Vf510-1-1,10
Faba-Seed-CC_Vf505-1-1,10
Faba-Seed-CC_Vf559-1-1,5
Faba-Seed-CC_Vf527-1-1,10
Faba-Seed-CC_Vf592-3-1,4
Faba-Seed-CC_Vf313-4-1,3
Faba-Seed-CC_Vf597-1-1,3
